contract_id,category,details
sd_sddot_20230517_item_006,abstract_parse,page 45 line 3: malformed quantity ''
sd_sddot_20230517_item_006,abstract_parse,page 45 line 5: malformed quantity ''
sd_sddot_20230517_item_006,bid_total_difference,sd_sddot_20230517_item_006_bid_001 preserves printed item total 1332210.2 and reported bid total 1493305.2; difference=-161095.
sd_sddot_20230517_item_006,bid_total_difference,sd_sddot_20230517_item_006_bid_002 preserves printed item total 1338599.93 and reported bid total 1537098.26; difference=-198498.33.
sd_sddot_20230607_item_002,abstract_parse,page 6 line 4: malformed quantity ''
sd_sddot_20230607_item_002,abstract_parse,page 6 line 6: malformed quantity ''
sd_sddot_20230607_item_002,bid_total_difference,sd_sddot_20230607_item_002_bid_001 preserves printed item total 1138985.54 and reported bid total 1754107.04; difference=-615121.5.
sd_sddot_20230607_item_002,bid_total_difference,sd_sddot_20230607_item_002_bid_002 preserves printed item total 1315135.05 and reported bid total 1892873.05; difference=-577738.
sd_sddot_20230906_item_007,abstract_parse,page 30 line 2: malformed quantity ''
sd_sddot_20230906_item_007,abstract_parse,page 30 line 3: malformed quantity ''
sd_sddot_20230906_item_007,bid_total_difference,sd_sddot_20230906_item_007_bid_001 preserves printed item total 186312.18 and reported bid total 246522.18; difference=-60210.
sd_sddot_20230906_item_007,bid_total_difference,sd_sddot_20230906_item_007_bid_002 preserves printed item total 178695.88 and reported bid total 248940.88; difference=-70245.
sd_sddot_20231018_item_005,line_extension_difference,"sd_sddot_20231018_item_005_line_0028_001 preserves printed quantity 479.5, unit price 32, and extension 47344; difference=-32000."
sd_sddot_20231018_item_005,line_extension_difference,"sd_sddot_20231018_item_005_line_0028_002 preserves printed quantity 479.5, unit price 41, and extension 60659.5; difference=-41000."
