item_code_raw,item_code,official_description,official_unit,is_deleted
210E1010,210E1010,Site Preparation,LS,false
210E2000,210E2000,Shoulder Shaping,Mile,false
210E3000,210E3000,Ordinary Roadway Shaping,Mile,false
210E3020,210E3020,Ordinary Roadway Shaping,SqYd,false
210E3500,210E3500,Heavy Roadway Shaping,Mile,false
210E3510,210E3510,Heavy Roadway Shaping,SqYd,false
230E0010,230E0010,Placing Topsoil,CuYd,false
230E0020,230E0020,Contractor Furnished Topsoil,CuYd,false
230E0030,230E0030,Placing State Furnished Topsoil,CuYd,false
230E0050,230E0050,Topsoil Amendment,Lb,false
230E0100,230E0100,Remove and Replace Topsoil,LS,false
240E0010,240E0010,Obliterate Old Road,Sta,false
250E0010,250E0010,Incidental Work,LS,false
250E0020,250E0020,"Incidental Work, Grading",LS,false
250E0030,250E0030,"Incidental Work, Structure",LS,false
260E0010,260E0010,Subbase,Ton,false
260E0030,260E0030,"Subbase, Salvaged",Ton,false
260E0050,260E0050,"Subbase, Modified",Ton,false
260E0070,260E0070,"Subbase, Salvaged, State Furnished",Ton,false
260E0080,260E0080,"Subbase, State Furnished",Ton,false
260E1010,260E1010,Base Course,Ton,false
260E1030,260E1030,"Base Course, Salvaged",Ton,false
260E1050,260E1050,"Base Course, Salvaged Asphalt Mix",Ton,false
260E1060,260E1060,"Base Course, Modified",Ton,false
260E1080,260E1080,"Base Course, Salvaged, State Furnished",Ton,false
260E1090,260E1090,"Base Course, State Furnished",Ton,false
260E1091,260E1091,"Base Course,County Furnished",Ton,false
260E1140,260E1140,Asphalt Treated Permeable Base Course,Ton,false
260E1180,260E1180,Rock for Base Course,Ton,false
260E2010,260E2010,Gravel Cushion,Ton,false
260E2030,260E2030,"Gravel Cushion, Salvaged",Ton,false
260E2050,260E2050,"Gravel Cushion, Salvaged Asphalt Mix",Ton,false
260E2060,260E2060,"Gravel Cushion, Modified",Ton,false
260E2080,260E2080,"Gravel Cushion, Salvaged, State Furnished",Ton,false
