contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
cdot_2025q4_nhpp0403_069,co_cdot_cost_data_book_2025_q4_20250206,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0403-069,,AWARDED,"OLDCASTLE SW GROUP, INC.",5792196.70,Colorado / CDOT District 3,,Roadway,,,2,NHPP0403-069 US 40 MP 215.90 - 219.88 IN GR,3,M,91.19
cdot_2025q4_nhpp0501_071,co_cdot_cost_data_book_2025_q4_20251211,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0501-071,,AWARDED,"OLDCASTLE SW GROUP, INC.",7587320.55,Colorado / CDOT District 3,,Roadway,,,2,NHPP0501-071 US50 DELTA RESURFACE MP 72 WES,3,U,74.11
cdot_2025q4_nhpp0501_080,co_cdot_cost_data_book_2025_q4_20250612,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0501-080,,AWARDED,"RIDGWAY VALLEY ENTERPRISES, INC.",4999614.34,Colorado / CDOT District 3,,Roadway,,,4,NHPP0501-080 SH50A MP 89.93 CEADAR CREEK,3,R,65.64
cdot_2025q4_nhpp0701_257,co_cdot_cost_data_book_2025_q4_20251204,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0701-257,,AWARDED,"Kilgore Companies, LLC dba Elam Construc",18121443.25,Colorado / CDOT District 3,,Roadway,,,2,NHPP0701-257 MP 138-148 ON I-70 IN EAGLE CO,3,M,98.25
cdot_2025q4_nhpp0701_260,co_cdot_cost_data_book_2025_q4_20251204,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0701-260,,AWARDED,"Kilgore Companies, LLC dba Elam Construc",8192268.13,Colorado / CDOT District 3,,Roadway,,,2,NHPP0701-260 I-70 MP 80.5 TO MP 88 IN GARFI,3,M,81.69
cdot_2025q4_nhpp0702_428,co_cdot_cost_data_book_2025_q4_20250130,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0702-428,,AWARDED,"KSK, LLC",6295000.00,Colorado / CDOT District 3,,Roadway,,,5,NHPP0702-428 I-70 THROUGH GLENWOOD CANYON I,3,M,83.20
cdot_2025q4_nhpp0703_517,co_cdot_cost_data_book_2025_q4_20250411,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0703-517,,AWARDED,"KRAEMER NORTH AMERICA, LLC",434861012.42,Colorado / CDOT District 1,,Roadway,,,1,NHPP0703-517 I-70 TOP OF FLOYD HILL TO VETE,1,M,101.08
cdot_2025q4_nhpp0703_536,co_cdot_cost_data_book_2025_q4_20250508,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0703-536,,AWARDED,"AMERICAN WEST CONSTRUCTION, LLC",3373121.00,Colorado / CDOT District 3,,Roadway,,,1,NHPP0703-536 I-70 DILLON TO EJMT MM 204 TO,3,M,76.40
cdot_2025q4_nhpp0704_260,co_cdot_cost_data_book_2025_q4_20250821,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0704-260,,AWARDED,"Myers & Sons Construction, LLC",818181.81,Colorado / CDOT District 6,,Roadway,,,5,NHPP0704-260 I-70 AND PENA BLVD OVERPASS,6,R,90.91
cdot_2025q4_nhpp0705_083,co_cdot_cost_data_book_2025_q4_20251204,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0705-083,,AWARDED,Harper Brothers Construction LLC,30092191.10,Colorado / CDOT District 4,,Roadway,,,5,NHPP0705-083 I-70: SEIBERT EAST PART 2,4,P,102.16
