bidder_item_observation_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_arapahoe_big_dry_creek_20210924_row_0015_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,1759.00,5.00,8795.00
fhu_arapahoe_big_dry_creek_20210924_row_0015_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,1759.00,10.00,17590.00
fhu_arapahoe_big_dry_creek_20210924_row_0015_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,1759.00,6.00,10554.00
fhu_arapahoe_big_dry_creek_20210924_row_0016_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,36.00,28.00,1008.00
fhu_arapahoe_big_dry_creek_20210924_row_0016_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,36.00,28.81,1037.16
fhu_arapahoe_big_dry_creek_20210924_row_0016_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,36.00,23.00,828.00
fhu_arapahoe_big_dry_creek_20210924_row_0016_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,36.00,45.00,1620.00
fhu_arapahoe_big_dry_creek_20210924_row_0016_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,36.00,24.00,864.00
fhu_arapahoe_big_dry_creek_20210924_row_0017_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,SY,20.00,30.00,600.00
fhu_arapahoe_big_dry_creek_20210924_row_0017_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,SY,20.00,22.86,457.20
fhu_arapahoe_big_dry_creek_20210924_row_0017_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,SY,20.00,32.00,640.00
fhu_arapahoe_big_dry_creek_20210924_row_0017_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,SY,20.00,45.00,900.00
