letting_id,source_id,state,agency_id,letting_date,letting_label
sd_sddot_2024_07_17,sd_sddot_bid_tabs_2024_07_17,SD,sd_sddot,2024-07-17,"July 17, 2024"
sd_sddot_2024_08_07,sd_sddot_bid_tabs_2024_08_07,SD,sd_sddot,2024-08-07,"August 7, 2024"
sd_sddot_2024_08_21,sd_sddot_bid_tabs_2024_08_21,SD,sd_sddot,2024-08-21,"August 21, 2024"
sd_sddot_2024_09_04,sd_sddot_bid_tabs_2024_09_04,SD,sd_sddot,2024-09-04,"September 4, 2024"
sd_sddot_2024_09_18,sd_sddot_bid_tabs_2024_09_18,SD,sd_sddot,2024-09-18,"September 18, 2024"
sd_sddot_2024_10_02,sd_sddot_bid_tabs_2024_10_02,SD,sd_sddot,2024-10-02,"October 2, 2024"
sd_sddot_2024_10_16,sd_sddot_bid_tabs_2024_10_16,SD,sd_sddot,2024-10-16,"October 16, 2024"
sd_sddot_2024_11_06,sd_sddot_bid_tabs_2024_11_06,SD,sd_sddot,2024-11-06,"November 6, 2024"
sd_sddot_2024_11_20,sd_sddot_bid_tabs_2024_11_20,SD,sd_sddot,2024-11-20,"November 20, 2024"
sd_sddot_2024_12_04,sd_sddot_bid_tabs_2024_12_04,SD,sd_sddot,2024-12-04,"December 4, 2024"
sd_sddot_2024_12_11,sd_sddot_bid_tabs_2024_12_11,SD,sd_sddot,2024-12-11,"December 11, 2024"
sd_sddot_2025_01_22,sd_sddot_bid_tabs_2025_01_22,SD,sd_sddot,2025-01-22,"January 22, 2025"
sd_sddot_2025_02_05,sd_sddot_bid_tabs_2025_02_05,SD,sd_sddot,2025-02-05,"February 5, 2025"
sd_sddot_2025_02_12,sd_sddot_bid_tabs_2025_02_12,SD,sd_sddot,2025-02-12,"February 12, 2025"
sd_sddot_2025_02_19,sd_sddot_bid_tabs_2025_02_19,SD,sd_sddot,2025-02-19,"February 19, 2025"
sd_sddot_2025_03_05,sd_sddot_bid_tabs_2025_03_05,SD,sd_sddot,2025-03-05,"March 5, 2025"
sd_sddot_2025_03_12,sd_sddot_bid_tabs_2025_03_12,SD,sd_sddot,2025-03-12,"March 12, 2025"
sd_sddot_2025_03_19,sd_sddot_bid_tabs_2025_03_19,SD,sd_sddot,2025-03-19,"March 19, 2025"
sd_sddot_2025_03_26,sd_sddot_bid_tabs_2025_03_26,SD,sd_sddot,2025-03-26,"March 26, 2025"
sd_sddot_2025_04_02,sd_sddot_bid_tabs_2025_04_02,SD,sd_sddot,2025-04-02,"April 2, 2025"
sd_sddot_2025_04_16,sd_sddot_bid_tabs_2025_04_16,SD,sd_sddot,2025-04-16,"April 16, 2025"
sd_sddot_2025_05_07,sd_sddot_bid_tabs_2025_05_07,SD,sd_sddot,2025-05-07,"May 7, 2025"
sd_sddot_2025_05_21,sd_sddot_bid_tabs_2025_05_21,SD,sd_sddot,2025-05-21,"May 21, 2025"
sd_sddot_2025_06_04,sd_sddot_bid_tabs_2025_06_04,SD,sd_sddot,2025-06-04,"June 4, 2025"
sd_sddot_2025_07_02,sd_sddot_bid_tabs_2025_07_02,SD,sd_sddot,2025-07-02,"July 2, 2025"
sd_sddot_2025_07_16,sd_sddot_bid_tabs_2025_07_16,SD,sd_sddot,2025-07-16,"July 16, 2025"
sd_sddot_2025_08_06,sd_sddot_bid_tabs_2025_08_06,SD,sd_sddot,2025-08-06,"August 6, 2025"
sd_sddot_2025_08_26,sd_sddot_bid_tabs_2025_08_26,SD,sd_sddot,2025-08-26,"August 26, 2025"
sd_sddot_2025_09_03,sd_sddot_bid_tabs_2025_09_03,SD,sd_sddot,2025-09-03,"September 3, 2025"
sd_sddot_2025_09_17,sd_sddot_bid_tabs_2025_09_17,SD,sd_sddot,2025-09-17,"September 17, 2025"
sd_sddot_2025_10_01,sd_sddot_bid_tabs_2025_10_01,SD,sd_sddot,2025-10-01,"October 1, 2025"
sd_sddot_2025_10_15,sd_sddot_bid_tabs_2025_10_15,SD,sd_sddot,2025-10-15,"October 15, 2025"
